left,right,left_correct,right_correct,confidence,approved,source,model,decided_on,note
Goth,*,Goth,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich eindeutig um einen Eigennamen (Familienname), wie durch die Konstruktionen 'von Goth' und 'Alexander Goth' belegt ist."
Graa,*,Graa,*,low,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Kontext zerstört/unverständlich
Graber,*,Graber,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname in einer Aufzählung von Personen.
GrafL,*,Graff,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Graff: GrafL ist kein existierendes Wort und ein typischer OCR-Fehler am Zeilenende; Graff ist im Korpus belegt.
Grafer,*,Grafer,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Hier handelt es sich eindeutig um einen Eigennamen, da das Wort unmittelbar auf militärischen Dienstgraden (Hptm., Oberst a. D.) steht."
Grana,*,Grana,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname innerhalb eines Adelstitels (Marchese de Grana); gemäß Regel 3 bleiben Eigennamen unverändert.
Grano,*,Grand,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Bezieht sich höchstwahrscheinlich auf das Hotel Grand, einen typischen Veranstaltungsort in der Gesellschaftsberichterstattung jener Zeit."
Grant,*,Grant,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Bezug auf die historische Person Ulysses S. Grant.
Gratu,*,Gratu,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Gray,*,Gray,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Es handelt sich eindeutig um einen Eigennamen (Nachname von Lydia und Maud).
Grenzer,*,Grenzer,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Die Form 'Grenzen' ist grammatikalisch unmöglich in Verbindung mit dem Singular-Artikel 'einer alten adeligen'. 'Grenzer' ist hier höchstwahrscheinlich als Familienname zu verstehen, was im Kontext ei"
Großm,*,Großm,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Der Punkt am Ende deutet auf eine Abkürzung hin; 'Große' ergibt im Kontext der Aufzählung von Akademien und Titeln keinen Sinn.
Grune,*,Grund,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Grund: In biografischen Angaben folgt auf 'verm.' (vermisst oder vermählt) meist ein Ortsname; 'Grund' ist ein gebräuchlicher Ortsname und im Korpus stark vertreten, während 'Grune' nicht existiert."
Grup,*,Grup,*,medium,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Das Wort 'Gruß' ergibt im Kontext 'Im Int. Gruß' keinen Sinn; 'Grup' ist entweder ein Eigenname oder (wahrscheinlicher) als 'Gruppe' abgeschnitten.
Gräfinner,*,Gräfinnen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Gräfinnen: Pluralform von Gräfin; passt in den Kontext der Aufzählungen von Adligen; typischer OCR-Fehler (n -> r) am Zeilenende.
Guidd,*,Guido,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Guido: Guido ist ein gebräuchlicher Vorname und im Korpus häufig vertreten, während Guidd nicht existiert."
Gustar,*,Gustav,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Gustav: Typischer OCR-Fehler (v -> r) bei einem sehr häufigen Vornamen in diesem Kontext (Personenlisten/Militärränge).
Gusto,*,Gusto,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Im Sinne von Geschmack/Vorliebe ist 'Gusto' hier semantisch korrekt; 'Gusti' als Name wäre unsinnig.
Guth,*,Guth,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigenname
Gutmans,*,Gutmann,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Gutmann: Der Name 'Gutmann' ist im Korpus sehr häufig belegt, während 'Gutmans' nicht vorkommt; es handelt sich höchstwahrscheinlich um einen OCR-Fehler beim Namensende."
Guts,*,Guts,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Teil einer Zusammensetzung (Ergänzungsstrich), wahrscheinlich 'Brauerei- und Gutsbesitzer' oder ähnlich."
Gäster,*,Gästen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Gästen: Nach 'mit vielen' ist der Dativ Plural 'Gästen' grammatikalisch zwingend.
Géze,*,Géza,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Géza: Häufiger ungarischer Vorname; hohe Korpusfrequenz im Vergleich zur fehlerhaften Form.
Görg,*,Görg,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Eigenname (Teil des Namens 'Josef Görgey v. Görg'), daher gemäß Regel 3 unverändert zu lassen."
Haab,*,Haab,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich um einen Eigennamen (Schweizer Gesandter Dr. Haab), daher bleibt die Form gemäß Regel 3 erhalten."
Haam,*,Haam,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um einen Eigennamen (Generalmajor Franz Haam), die gemäß Regel 3 unverändert bleiben."
Haat,*,Haar,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Haag: Der Kontext 'edler Kopf mit dem grauen...' macht 'Haar' zur einzig logischen Ergänzung.
Hafez,*,Hafez,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Im Kontext von 'Exz.' (Exzellenz) handelt es sich offensichtlich um einen Namen; 'Hafen' wäre in diesem Zusammenhang unsinnig.
Halb,*,Halb,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Teil von 'Halbmond' (im Kontext der Verleihungen des Sultans), das Wort ist am Zeilenende vermutlich getrennt."
Hali,*,Hall,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Hall: Im Kontext eines Datums ('am 11. d. M.') ist 'Hall' (wahrscheinlich Hall in Tirol) als Ortsangabe am plausibelsten; 'Hals' ergibt keinen Sinn.
Halll,*,Halle,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Halle: Es handelt sich um den Namen eines englischen Anwesens (Goldsborough Hall), das in deutschen Texten dieser Zeit oft als 'Halle' bezeichnet wurde; zudem ist die Endung -le ein plausibles Korrekturziel"
Hana,*,Hana,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Folgt auf 'Gräfin' und den weiblichen Namen 'Eva Almasy'; 'Hans' (männlich) und 'Hand' sind hier unmöglich.
Hanak,*,Hanak,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich um einen Eigennamen (Nachname), der auf den Vornamen 'Heinrich' folgt."
Hann,*,Hann,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich um einen Eigennamen nach 'Frau', daher bleibt die Form gemäß Regel 3 unverändert."
Harm,*,Harm,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Teil der feststehenden poetischen Wendung 'Kummer und Harm'.
Haru,*,Haru,*,low,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Haub,*,Haub,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: In diesem Kontext (Adelsliste) ist 'schw.' höchstwahrscheinlich die Abkürzung für 'Schwager'. 'Haub' fungiert hier als Eigenname des Schwagers, weshalb es gemäß Regel 3 unverändert bleiben muss."
Haug,*,Haug,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Eigename (Familienname), der konsistent nach Titeln wie 'Gräfin' und 'Gräfinnen' auftritt."
HausO,*,Hause,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: HausO ist kein existierendes Wort; es handelt sich offensichtlich um einen OCR-Fehler, bei dem das 'e' als 'O' gelesen wurde. Im Kontext (dynastische Häuser) wäre grammatikalisch 'Hauses' korrekt, abe"
Hausc,*,Hause,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Hause: Grammatikalisch korrekt im Dativ ('im Grünen Hause'); 'Hausc' ist kein existierendes Wort.
Hazay,*,Hazay,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname bleibt gemäß Regel 3 unverändert.
Heek,*,Heek,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigename ( niederländischer Name 'van Heek')
Hees,*,Hees,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname
Helli,*,Hella,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Hella: Die hohe Häufigkeit von 'Hella' im Korpus (166) gegenüber 'Helli' (1) deutet stark darauf hin, dass es sich um einen wiederkehrenden Namen in der Zeitschrift handelt und das 'i' ein OCR-Fehler am Zeil"
Henrietta,*,Henrietta,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigenname; bleibt gemäß Regel 3 unverändert.
Henrv,*,Henry,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Typischer englischer Name, passend zu den Titeln 'Mr.' sowie 'Sir und Lady'; 'v' am Zeilenende ist ein plausibler OCR-Fehler für 'y'."
Hera,*,Hera,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigename des Sanatoriums
Herb,*,Herz,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Herr: Das Adjektiv 'spröden' passt semantisch sehr gut zu 'Herz' (ein sprödes Herz), während 'Herr' oder 'Herb' keinen Sinn ergeben. Die grammatikalische Diskrepanz zwischen 'ihrer' (feminin) und 'Herz' (ne"
Herc,*,Herc,*,low,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Der Kontext 'Ofen und ...' legt das Wort 'Herd' nahe, welches jedoch nicht als Option zur Verfügung steht. Weder 'Herr' noch 'Herz' ergeben in diesem Zusammenhang Sinn; daher wird die transkribierte F"
Herd,*,Herd,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Die Wendung 'an den häuslichen Herd' ist eine gängige Redewendung.
Heri,*,Herr,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Herr: In gesellschaftlichen Namenslisten des Wiener Salonblatts ist die Aufzählung 'Name, Titel' (z. B. Schell-Bauschlott, Herr) absolut üblich; 'Heri' ist ein typischer OCR-Fehler für 'Herr'."
Herm,*,Herm,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: In beiden Kontexten fungiert 'Herm' als Eigenname (Firmenname bzw. Familienname nach dem Titel 'Herr').
Hermanr,*,Hermann,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Hermann: Typischer OCR-Fehler am Zeilenende (n zu r); 'Hermann' ist ein häufiger Name, während 'Hermanr' nicht existiert."
Herrei,*,Herren,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Herren: Typischer OCR-Fehler (n -> r) am Zeilenende; grammatikalisch ist hier der Genitiv Plural erforderlich.
Herrer,*,Herren,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Herren: Grammatikalisch zwingend (Dativ Plural nach 'den') und typischer OCR-Fehler n->r.
Herrl,*,Herrl,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Im Kontext eines Hundes ('wedelte mit seinem Schweif') ist 'Herrl' die im österreichischen Raum übliche Bezeichnung für den Besitzer.
Herrr,*,Herrn,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Herrn: Typischer OCR-Fehler (n -> r) am Zeilenende; grammatisch zwingend erforderlich ('mit dem Herrn', 'mit Herrn')."
Herrschaff,*,Herrschaft,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Herrschaft: Das Wort 'Herrschaff' existiert im Deutschen nicht; 'Herrschaft' ist die korrekte Form und passt im Kontext des Adels (Besitz/Domäne) perfekt.
Herrschafter,*,Herrschaften,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Herrschaften: Typischer OCR-Fehler (n -> r) am Zeilenende; grammatikalisch korrekt im Genitiv Plural ('der jungen Herrschaften') und passend zum Kontext einer Gesellschaftszeitung.
Hert,*,Hert,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Das Wort steht an der Position eines Eigennamens nach Titeln (MinPräs. Dr. Graf); 'Graf Herr' wäre grammatikalisch falsch.
Herte,*,Herte,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um einen Eigennamen (Nachname), der gemäß Regel 3 unverändert bleibt."
Herzogl,*,Herzogl,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Abkürzung für 'herzogliche' in der feststehenden Formel 'Se. Herzogl.' (Seine Herzogliche Hoheit).
Hilfs,*,Hilfs,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Hilmr,*,Hilmi,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Hilmi: Historischer Name des Khediven von Ägypten (Abbas Hilmi II).
Hirschl,*,Hirschl,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname (Nachname der Contessa)
Hofd,*,Hofd,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Handelt sich höchstwahrscheinlich um die gängige Abkürzung für 'Hofdame' oder 'Hofdamen' in einer Liste von Adligen.
Hofl,*,Hofm,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: In einer Gesellschaftszeitung wie dem 'Wiener Salonblatt' folgt auf 'vorm.' (vormals) meist ein Titel oder Name. 'Hofm' ist eine gängige Abkürzung für Hofmeisterin/Hofmeister, was zur Person Gabriele"
Hohei,*,Hohei,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: abgeschnitten; im Kontext von 'befanden sich Seine kgl.' ist das Wort 'Hoheiten' (Plural) zwingend, hier fehlen jedoch mehrere Buchstaben ('ten')"
Hoheiter,*,Hoheiten,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Hoheiten: Standard-Titel 'k. u. k. Hoheiten'; typischer OCR-Fehler n -> r am Zeilenende.
Hohes,*,Hohes,*,medium,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Das Wort steht am Anfang eines neuen Satzes; ohne den folgenden Kontext gibt es keinen Grund, die Form zu ändern."
Hollano,*,Holland,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Holland: Kontext 'aus Holland' ist eine gängige geografische Bezeichnung; 'Hollano' existiert nicht.
Hore,*,Horn,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Horn: In Fraktur-OCR ist die Verwechslung der Ligatur 'rn' mit 're' ein sehr häufiger Fehler. Zudem ist 'Horn' im Korpus deutlich häufiger vertreten als 'Hory' und passt perfekt in den Kontext eines Persone
Hors,*,Hors,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten (wahrscheinlich Teil von 'Hors d'œuvre' im Kontext eines Déjeuners)
Hubers,*,Hubers,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Parallelkonstruktion zu 'Bouvards'; es handelt sich um eine Aufzählung von Namen im Genitiv.
Huberth,*,Huberth,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Das Wort folgt auf 'geb.' (geborene), was auf einen Familiennamen hindeutet; Huberta ist hingegen ein Vorname."
Huge,*,Hugo,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Hugo: Kontext deutet eindeutig auf Personennamen hin (Autor eines Einakters, Prinz); 'Hugo' ist im Korpus sehr häufig, während 'Huge' nicht vorkommt."
Hunyadi,*,Hunyadi,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Standard-Schreibweise des ungarischen Adelsnamens; konsistent in allen Textbeispielen.
Husares,*,Husaren,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Husaren: Im Kontext eines Kavallerie-Regiments ist 'Husaren' die korrekte Bezeichnung; 'Husares' ist ein typischer OCR-Fehler am Zeilenende.
Hzgs,*,Hzgs,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Grammatikalisch ist hier der Genitiv erforderlich ('Sohn des...'), wofür 'Hzgs' die gängige Abkürzung für 'Herzogs' ist."
Händer,*,Händen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Händen: Die Redewendung 'in bewährten Händen liegen' erfordert hier den Dativ Plural.
Höhn,*,Höhn,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: In den Beispielen handelt es sich entweder um Eigennamen (Regel 3) oder eine poetische Pluralform von Höhe.
Ignatio,*,Ignatio,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Der Kontext 'Der kolumbische Gesandte' und der Titel 'Don' belegen eindeutig eine männliche Person.
Ihrt,*,Ihre,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Ihre: Grammatikalisch ist 'Ihre' als Possessivpronomen nach dem Verb 'gaben' korrekt; 'Ihrt' ergibt in diesem Kontext keinen Sinn.
Imhoft,*,Imhoff,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Imhoff: Imhoff ist ein etablierter Name im Korpus, während Imhoft nicht vorkommt; 't' am Zeilenende ist ein plausibler OCR-Fehler für 'f'."
Inel,*,Ines,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Ines: Ines ist ein gebräuchlicher Vorname und im Korpus häufig vertreten, während Inel unbekannt ist."
Innerer,*,Inneren,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Grammatikalisch ist im Kontext 'in den Straßen der...' die Adjektivform 'inneren' (wahrscheinlich gefolgt von 'Stadt') korrekt; zudem ist der Fehler n -> r typisch für diese OCR.
Instituter,*,Institutes,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Institutes: „Instituter“ ist kein existierendes Wort; „Institutes“ ist ein im Korpus häufiger Begriff und die einzige plausible Alternative aus der Liste, auch wenn grammatikalisch (Dativ Plural) eigentlich „Inst"
Italier,*,Italien,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Italien: Kontext bezieht sich eindeutig auf das Land Italien; typischer OCR-Fehler (n -> r) am Zeilenende.
Jacky,*,Jacky,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Es handelt sich offensichtlich um einen Personennamen im Kontext von 'Baroninnen Nadine und Jacky'.
Jagder,*,Jagden,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Jagden: Typischer OCR-Fehler (n -> r am Zeilenende); 'Jagden' ist die korrekte Pluralform und im Korpus häufig belegt.
Jage,*,Jagd,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Jagd: Das Wort folgt auf den Artikel 'Die' und das Adjektiv 'stärkste', was ein feminines Nomen erfordert; 'Jage' existiert nicht als Nomen, 'Jagd' hingegen ist korrekt."
Jago,*,Jago,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eindeutiger Bezug auf die Figur des Jago im Theaterstück »Othello«.
Jahrer,*,Jahren,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Jahren: In allen drei Kontexten ist der Plural Dativ ('seit 50 Jahren', 'unter 20 Jahren', 'in diesen jungen Jahren') grammatikalisch zwingend."
Janeird,*,Janeiro,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Janeiro: Teil des Eigennamens 'Rio de Janeiro'.
Jano,*,Jane,*,medium,,llm,google/gemma-4-31b,2026-09-01,confirms Jane: Hohe Häufigkeit von 'Jane' im Korpus gegenüber 'Jano'; wahrscheinlich OCR-Fehler am Zeilenende.
Jarau,*,Jarau,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Jarau ist ein bekannter österreichischer Eigenname (Schloss Jarau), und gemäß Regel 3 bleiben Eigennamen stehen."
Jaromin,*,Jaromir,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Jaromir: Der Name 'Jaromir' ist im Korpus häufig belegt (36-mal), während 'Jaromin' nicht vorkommt; es handelt sich um einen typischen slawischen Namen."
Jeno,*,Jenö,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Jenö: Hohe Häufigkeit von 'Jenö' im Korpus deutet darauf hin, dass es sich bei 'Jeno' am Zeilenende um einen OCR-Fehler handelt; zudem ist Jenö ein typischer ungarischer Name, passend zum Kontext 'Baron'."
Joachin,*,Joachim,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Joachim: Typischer OCR-Fehler am Zeilenende (m -> n); Joachim ist ein häufiger Name und im Korpus stark vertreten.
Johanne,*,Johanna,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Häufiger weiblicher Vorname; die Korpusstatistik zeigt eine deutliche Dominanz von 'Johanna' gegenüber 'Johanne'.
Johanny,*,Johanny,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich um einen Eigennamen (Geburtsname), die gemäß Regel 3 unverändert bleiben."
Johanr,*,Johann,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Johann: Typischer OCR-Fehler (n -> r am Zeilenende); Johann ist ein sehr häufiger Vorname.
Johr,*,John,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms John: Typischer OCR-Fehler (n zu r am Zeilenende) bei einem häufigen englischen Namen nach dem Titel 'Sir'.
JosefO,*,JosefO,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Der Kontext bezieht sich eindeutig auf Kaiser Franz Josef; die Alternative 'Josefa' ist in Verbindung mit 'Franz' und dem Genitiv 'des' grammatikalisch und historisch unplausibel.
Josefe,*,Josefa,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Josefa: Der Name 'Franz Josefa' ist eine gängige weibliche Form; 'Josefe' existiert nicht als Standardname und die Korpusdaten bestätigen 'Josefa'.
Josefi,*,Josefa,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Josefa: Häufiger weiblicher Vorname im Korpus; passt kontextuell zu Leopoldine.
Josel,*,Josef,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Häufigkeit im Korpus und Kontext (Vorname Josef als Ergänzung zu Josefine) machen einen OCR-Fehler von f zu l sehr wahrscheinlich.
Josep,*,Josef,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Josef: Häufiger Vorname in Kombination mit 'Graf'; 'Josep' ist ein typischer OCR-Fehler für 'Josef'.
Josephl,*,Josephs,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Genitivform im Zusammenhang mit Kaiser Franz Joseph.
Josephy,*,Josephy,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigenname in Verbindung mit dem männlichen Vornamen 'Wolfgang'.
Josepl,*,Joseph,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Joseph: Typischer OCR-Fehler am Zeilenende (h -> l); Joseph ist ein sehr häufiger Name.
Jugene,*,Jugend,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Jugend: Grammatikalisch korrekt im Genitiv ('der Jugend'); 'Jugene' ist kein existierendes Wort.
Jula,*,Jula,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigename nach 'Frau'
Julg,*,Julg,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich hier eindeutig um einen Familiennamen, da das Wort auf den Titel 'Frl.' und den Vornamen 'Elfriede' folgt."
Jung,*,Jung,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: In Beispiel 1 handelt es sich um einen Eigennamen (Dr. Jung); in den Beispielen 2 und 3 ist der Artikel 'Die' grammatikalisch unvereinbar mit dem Monat 'Juni'.
Junk,*,Junk,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Eigename (Nachname), da er auf 'Herr und Frau Heinz' folgt."
Jäckcher,*,Jäckchen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Jäckchen: Typischer OCR-Fehler (n -> r am Zeilenende) im Kontext einer Aufzählung von Kleidungsstücken.
KabKanzler,*,KabKanzlei,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms KabKanzlei: Grammatikalisch ist 'der Chef der KabKanzlei' (Genitiv Femininum) korrekt; zudem ist das Wort im Korpus häufig belegt.
Kaiserl,*,Kaiserl,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Handelt sich um die gängige historische Abkürzung für 'kaiserlichen'.
Kaisern,*,Kaisern,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Dativ Plural nach 'mit den' und 'bei den'.
Kampff,*,Kampfe,*,medium,,llm,google/gemma-4-31b,2026-09-01,confirms Kampfe: Kampff ist im Deutschen nicht gebräuchlich; Kampfe ist die korrekte dative Form (z.B. 'im Kampfe') und passt zum Muster von OCR-Fehlern am Zeilenende.
Kapellm,*,Kapellm,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: abgeschnitten
Karo,*,Karl,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Karl: Im Kontext einer Heirat oder Verbindung ('mit...') ist 'Karl' ein sehr häufiger Vorname, während 'Karo' unüblich ist."
Karr,*,Karr,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um einen Eigennamen (Nachname), der in beiden Kontexten nach Titeln bzw. Funktionsbezeichnungen steht. Gemäß Regel 3 bleiben Eigennamen unverändert."
Kasimin,*,Kasimir,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Kasimir: Typischer OCR-Fehler (r -> n) am Zeilenende; Kasimir ist ein gebräuchlicher Name, während Kasimin im Korpus nicht vorkommt."
Kasr,*,Kasr,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Teil eines Eigennamens (arabisch für Palast), passend zum Kontext der Salukis."
Katd,*,Kath,*,medium,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Die Buchstaben 'd' und 'h' haben beide Oberlängen (Aufstriche), was eine Verwechslung durch die OCR plausibel macht; 'Kath' ist zudem ein häufiger Name/Kurzform."
Katy,*,Katy,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Eigenname (wahrscheinlich Ortsname in Ungarn), Regel 3 greift."
Kauz,*,Kauz,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Passt perfekt in den Kontext ('einen abenteuerlustigen Kauz' als Charakterbeschreibung); 'kaum' wäre grammatikalisch falsch.
Kenda,*,Kenda,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname; bleibt gemäß Regel 3 unverändert.
Khrr,*,Khrn,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Khrn: Typischer OCR-Fehler (n -> r); 'Khrn' ist im Korpus häufig belegt, während 'Khrr' nicht existiert."
Kino,*,Kino,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Passt grammatikalisch und logisch perfekt in den Kontext 'im Kino'.
Kinz,*,Kinz,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Eigename im Kontext einer Personenaufzählung (Frau Kinz), gemäß Regel 3 beizubehalten."
Klary,*,Klary,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Gemäß Regel 3 bleiben Eigennamen unverändert, auch wenn sie selten sind oder statistisch wie ein OCR-Fehler wirken (analog zum Beispiel 'Mrs. Clare' statt 'Clara')."
Knia,*,Knia,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um einen Eigennamen (Nachname von Dr. Thaddäus), daher bleibt die Form gemäß Regel 3 unverändert."
Komitatt,*,Komitatt,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Das Wort steht in beiden Kontexten im Singular (nominativ/akkusativ 'Pester Komitatt' und dativ 'im Tolnaer Komitatt'). Da 'Komitat' nicht als Option zur Verfügung steht, aber 'Komitatt' eine historis"
Komtef,*,Komteß,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Komteß: Kontext 'Gräfin' und 'Tochter' weist eindeutig auf den Adelstitel Komteß hin; 'f' ist ein typischer OCR-Fehler für 'ß'.
