left,right,form,source,model,decided_on,note
Honv,HR,period,llm,google/gemma-4-31b,2026-08-25,"Honv. ist eine gängige Abkürzung für Honvéd, gefolgt von einer weiteren Abkürzung (HR. für Regiment)."
Honv,Hptm,period,llm,google/gemma-4-31b,2026-08-25,"Honv. ist die Abkürzung für 'Honvéd' (ungarisch für Landesverteidigung), Hptm. steht für Hauptmann; es handelt sich um eine Titelabkürzung."
Honv,HusRgt,period,llm,google/gemma-4-31b,2026-08-25,Der linke Teil 'Honv' ist eine gängige Abkürzung für 'Honvéd' (ungarisch für Landesverteidigung); Punkte nach solchen militärischen Abkürzungen werden gemäß den Regeln als 'period' klassifiziert.
Honv,HusRgts,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Honvéd-Husarenregiment), bei dem der erste Teil abgekürzt ist; die Form 'Honv.-' in Textstelle 1 bestätigt den Bindestrich."
Honv,Kmdt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Honvéd-Kommandant), das in dieser Zeitung typischerweise mit Bindestrich gesetzt wird, auch wenn beide Teile abgekürzt sind."
HonvHus,Rgt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum einer militärischen Einheit (Honvéd-Husaren-Regiment), die in dieser Zeitung konsequent mit Bindestrich gesetzt wird."
Honvéd-Feldart,Rgt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Honvéd-Feldartillerie-Regiment), das in dieser Zeitung konsequent mit Bindestrichen gesetzt wird; bei Abkürzungen innerhalb eines Kompositums bleibt der B"
HonvédHus,Rgt,period,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Abkürzung (HonvédHus. für Honvédhusaren) gefolgt von einer weiteren Abkürzung/Bezeichnung (Rgt. für Regiment), analog zum Beispiel 'Geh. Rat'."
Honvédhus,Rgts,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Honvédhusaren-Regiment), bei dem der erste Teil abgekürzt ist; in dieser Zeit wurden solche Komposita mit Bindestrich gesetzt."
Hosenband,Ordens,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Kompositum (Hosenband-Orden), das in der Zeitgenössischen Orthografie häufig mit Bindestrich gesetzt wurde; zudem liegt ein Beleg im Korpus vor."
Hou,don,join,llm,google/gemma-4-31b,2026-08-25,Der Name des Bildhauers Houdon wurde am Zeilenende getrennt; der zweite Teil ist kleingeschrieben.
Hupp,mann-Valbella,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt kleingeschrieben ('mann'), was auf eine Worttrennung innerhalb des Namens Huppmann hindeutet."
Hus,Oberst,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Husaren-Oberst), wobei 'Hus.' die Abkürzung für Husaren ist; solche Zusammensetzungen werden in dieser Zeitung mit Bindestrich gesetzt."
Hus,Oblt,hyphen,llm,google/gemma-4-31b,2026-08-25,Titelkompositum (Husaren-Oberleutnant); die Abkürzungen werden mit Bindestrich verbunden.
Hus,Obst,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Husaren-Oberst), wobei beide Teile abgekürzt sind; in dieser Zeitung werden solche Komposita konsequent mit Bindestrich gesetzt."
Hus,Rgt,period,llm,google/gemma-4-31b,2026-08-25,"Der linke Teil 'Hus' ist eine gängige Abkürzung für 'Husaren', analog zu den Beispielen wie 'Geh. Rat'."
Hus,Rgte,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Husarenregiment), das in dieser Zeitung häufig mit Bindestrich gesetzt wird; zudem weisen die Textbeispiele 1 und 3 explizit einen Bindestrich auf."
Hus,Rgts,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um das Kompositum 'Husaren-Regiment' in abgekürzter Form ('Hus.-Rgts.'), was dem typischen Setzstil der Zeitung für Substantiv-Komposita entspricht."
Husaren,majors,join,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um das zusammengesetzte Substantiv 'Husarenmajor' im Genitiv; der zweite Teil ist kleingeschrieben, was auf eine Worttrennung hindeutet."
Hände,klatschen,split,llm,google/gemma-4-31b,2026-08-25,"In Kontext 1 handelt es sich um die idiomatische Verbphrase 'in die Hände klatschen', bei der 'Hände' das Objekt und 'klatschen' das Verb ist; eine Zusammenschreibung würde den Satz grammatikalisch ze"
Höchst,ihrer,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um zwei getrennte Wörter; 'Höchst' ist hier vermutlich ein OCR-Fehler für das Adjektiv 'höchster' oder 'höchsten', gefolgt vom Possessivpronomen 'ihrer'. Ein Zusammenzug oder Satzzeich"
Ihrer,kgl,split,llm,google/gemma-4-31b,2026-08-25,Teil der festen Wendung 'Ihrer kgl. Hoheit'; das Pronomen 'Ihrer' kann keinen Satz abschließen und es steht kein Satzzeichen vor dem Adjektiv 'kgl.'
Ilcsi,Széchényi,split,llm,google/gemma-4-31b,2026-08-25,Vorname und Familienname einer Person; hier gehört kein Bindestrich oder Satzzeichen dazwischen.
Imecs,Imecsfalva,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelnamen (Minna Imecs-Imecsfalva), was in dieser Publikation typischerweise mit einem Bindestrich gekennzeichnet wird."
In,dem,split,llm,google/gemma-4-31b,2026-08-25,In den Beispielen 1 und 3 handelt es sich eindeutig um die Präposition 'In' gefolgt vom Artikel 'dem'. Die hohe Korpusfrequenz stützt dies massiv.
Inf,Brig,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Abkürzung des Substantiv-Komposikums 'Infanterie-Brigade'. Die Zeitung setzt Komposita häufig mit Bindestrich, was auch in zwei der drei Textbeispiele explizit durch den Trennst"
Inf,Brigade,period,llm,google/gemma-4-31b,2026-08-25,Inf. ist die gängige Abkürzung für Infanterie; der Punkt markiert das Ende der Abkürzung.
Inf,Division,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Infanterie-Division), das in dieser Zeitung konsequent mit Bindestrich gesetzt wird, auch wenn der erste Teil abgekürzt ist."
Inf,Leibrgt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Infanterie-Leibregiment), das in dieser Zeitung häufig mit Bindestrich gesetzt wird; Beleg 2 zeigt zudem explizit den Bindestrich 'Inf.-'."
Inf,Rgt,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung von Infanterie-Regiment (Inf. Rgt.); der linke Teil ist eine klassische militärische Abkürzung.
Inf,Rgts,period,llm,google/gemma-4-31b,2026-08-25,Inf. ist die gängige Abkürzung für Infanterie; bei Abkürzungen am Zeilenumbruch ist 'period' die korrekte Form (analog zu Geh. Rat).
Inf,TrpDiv,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Infanterie-Truppendivision), das in dieser Zeitung häufig mit Bindestrich gesetzt wird; zudem weisen zwei der drei Textbeispiele explizit einen Bindestric"
InfTrupp,Div,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um ein Kompositum aus zwei Abkürzungen (Infanterietruppen-Division); die Belege 2 und 3 zeigen explizit den Bindestrich am Zeilenende.
Ing,Stephan,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung des Titels 'Ingenieur' (Ing.) vor dem Namen Stephan Tauschitz.
Ing,Tauschitz,period,llm,google/gemma-4-31b,2026-08-25,„Ing.“ ist die gängige Abkürzung für Ingenieur und fungiert hier als Titel vor dem Namen Tauschitz.
Ingenhaeff,der,comma,llm,google/gemma-4-31b,2026-08-25,"Apposition: Name gefolgt von Rang/Titel ('der Rittmeister'), was in Namenslisten dieser Zeit typischerweise durch ein Komma getrennt wird."
Innen,Min,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Abkürzung für 'Innen-Minister'. Da der zweite Teil großgeschrieben ist und es ein Substantiv-Kompositum ist, ist gemäß den Regeln dieser Zeitung ein Bindestrich (hyphen) am wahr"
Isabella,Marie,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um einen Doppelvorname; im Kontext der Erzherzoginnen ist 'Isabella Marie' als zwei getrennte Wörter ohne Bindestrich die gängige Form.
István,Károlyi,split,llm,google/gemma-4-31b,2026-08-25,Vorname und Nachname einer Person (Graf István Károlyi); hier gehört kein Satzzeichen dazwischen.
Jahres,wechsels,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und bildet zusammen mit dem ersten Teil das Kompositum 'Jahreswechsels'.
Janse,kovitsch,join,llm,google/gemma-4-31b,2026-08-25,Zweiter Teil ist kleingeschrieben; es handelt sich um den Nachnamen Jansekovitsch.
Joh,Ordens,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Johanniter-Orden), bei dem der erste Teil abgekürzt ist; die Beispiele 1 und 3 zeigen explizit den Bindestrich."
JohO,Alfred,period,llm,google/gemma-4-31b,2026-08-25,„JohO“ ist ein OCR-Fehler für eine Abkürzung (wahrscheinlich „Joh.“ für Johannes); zudem belegt die zweite Textstelle explizit den Punkt.
JohO,Se,period,llm,google/gemma-4-31b,2026-08-25,"JohO ist eine OCR-Fehlform für den Johanniterorden (evtl. Joh. O.); es folgt ein Satzende, da danach die Anrede 'Se. Exzellenz' bzw. 'Se. Durchlaucht' beginnt."
Johann,Georg,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelvorname (Johann Georg), der im Deutschen üblicherweise als zwei getrennte Wörter geschrieben wird."
Johann,Strauß-Theater,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um den Namen eines Theaters; der Vorname 'Johann' wird vom Nachnamen 'Strauß' (der hier Teil des Komposikums 'Strauß-Theater' ist) durch ein Leerzeichen getrennt.
Josef,Karl,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Aneinanderreihung von Vornamen (Vorname und Zweitname), die im Deutschen ohne Bindestrich geschrieben werden."
Josefstädter,Theater,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Eigennamen eines Theaters, der im Korpus überwiegend als zwei getrennte Wörter geschrieben wird."
Joseph-Ordens,am,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um ein Substantiv im Genitiv ('des Franz Joseph-Ordens') gefolgt von einer Präpositionalphrase ('am Bande'); es gehört kein Satzzeichen dazwischen.
Joszi,Döry,split,llm,google/gemma-4-31b,2026-08-25,Vorname und Nachname einer Person; kein Bindestrich oder Satzzeichen dazwischen.
Juczi,Jeszenszky,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um Vor- und Nachname einer Person (Baronin Juczi Jeszenszky), was laut Anweisung als 'split' zu werten ist; zudem belegen die Korpusdaten die Schreibweise als zwei Wörter."
Juli,Séjour,split,llm,google/gemma-4-31b,2026-08-25,„Anfang Juli“ ist die Zeitangabe; „Séjour nehmen“ (einen Aufenthalt machen) ist der Ausdruck für den Aufenthalt in einem Kurort. Es handelt sich um zwei getrennte Wörter.
Jum,pers,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt mit einem Kleinbuchstaben, was auf eine einfache Worttrennung hindeutet."
Junker,Bigato,hyphen,llm,google/gemma-4-31b,2026-08-25,"Doppelname des Adels, belegt durch Korpus und Kontext (Baronin/Freiin)."
János,utca,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um eine ungarische Straßenbezeichnung (János utca = Jánosstraße); die Korpusbelege zeigen eindeutig die Form mit Bindestrich.
Jäg,Bat,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um das Kompositum 'Jäger-Bataillon', das hier in der abgekürzten Form 'Jäg.-Bat.' steht; die Zeitung setzt Substantiv-Komposita bevorzugt mit Bindestrich."
Jäger,Bat,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein militärisches Kompositum (Jäger-Bataillon), wobei 'Bat.' die gängige Abkürzung für Bataillon ist; solche Zusammensetzungen wurden in dieser Zeit oft mit Bindestrich gesetzt."
Jäger,in,split,llm,google/gemma-4-31b,2026-08-25,"Hier handelt es sich um die Präposition 'in' am Anfang einer Ortsangabe ('in aller Welt'), nicht um die weibliche Endung '-in'."
Jän,1890,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung für Jänner
Jän,1892,period,llm,google/gemma-4-31b,2026-08-25,„Jän.“ ist die im österreichischen Raum übliche Abkürzung für Jänner; Abkürzungen werden mit einem Punkt gekennzeichnet.
Jän,1910,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung von Jänner
Kab,Chef,period,llm,google/gemma-4-31b,2026-08-25,Der linke Teil 'Kab' ist eine Abkürzung für 'Kabinett'; gemäß den Regeln für Titel und Ämter (analog zu 'Geh. Rat') folgt hier ein Punkt.
Kab,Kanzlei,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Kabinett-Kanzlei), wobei 'Kab.' die Abkürzung für Kabinett ist; die Zeitung setzt solche Komposita häufig mit Bindestrich."
Kab,Sekr,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um ein Titelkompositum (Kabinetts-Sekretär); im ersten Textbeispiel ist der Bindestrich bereits explizit vorhanden.
Kadett,aspirant,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'aspirant' ist kleingeschrieben, was auf eine Worttrennung mitten im Stamm hindeutet; zudem ist 'Kadettaspirant' ein gängiger zusammengesetzter Begriff."
Kaiser,in,split,llm,google/gemma-4-31b,2026-08-25,"In allen Beispielen ist 'in' eine Präposition, die einen Ort oder einen Zweck einleitet; es handelt sich nicht um das Suffix für 'Kaiserin'."
Kalender,literatur,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist klein geschrieben; es handelt sich um das Kompositum 'Kalenderliteratur'.
Kalten,egger,join,llm,google/gemma-4-31b,2026-08-25,"Teil eines Eigennamens (Kaltenegger), zweiter Teil klein geschrieben."
Kamionka,Strumilowa,hyphen,llm,google/gemma-4-31b,2026-08-25,Doppelname eines Ortes
Kard,StaatsSekr,period,llm,google/gemma-4-31b,2026-08-25,"Kard. ist eine gängige Abkürzung für Kardinal, gefolgt von einem weiteren Titel/Amt."
Kardas,Rečić,hyphen,llm,google/gemma-4-31b,2026-08-25,"Doppelname, zweiter Teil großgeschrieben"
Kardinal,Fürsterzbischof,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um zwei aufeinanderfolgende Titel derselben Person (Dr. Piffl), was im Regelfall ohne Satzzeichen oder Bindestrich geschrieben wird."
Kardinal,Staatssekr,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Kardinal-Staatssekretär), das in dieser Zeitung typischerweise mit Bindestrich gesetzt wird."
Kardinal-Fürst,erzbischof,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil ist kleingeschrieben, was auf eine Fortsetzung des Wortstamms hindeutet; es handelt sich um den zusammengesetzten Titel Kardinal-Fürsterzbischof."
Karlsbader,Haus,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Eigennamen eines Gebäudes/Betriebs; die Zeitung verwendet bei Komposita mit Ortsnamen häufig Bindestriche, was auch durch den Korpusbeleg gestützt wird."
Kav,Div,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Kavallerie-Division), das in dieser Zeitung und im militärischen Kontext typischerweise mit Bindestrich gesetzt wird, wie auch in Beispiel 2 explizit durc"
Kav,Rgt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum aus zwei Abkürzungen (Kavallerie-Regiment), die in dieser Zeit typischerweise mit Bindestrich verbunden wurden; zudem weisen zwei der drei Textstellen expl"
Kavallerie,inspektor,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'inspektor' ist kleingeschrieben, was auf eine Worttrennung mitten im Kompositum hindeutet."
Khevenhüller-Metsch,die,comma,llm,google/gemma-4-31b,2026-08-25,"In allen Beispielen folgt ein Relativsatz oder eine Aufzählung von Personen, was einen Beistrich erfordert."
Khevenhüller-Metsch,geb,comma,llm,google/gemma-4-31b,2026-08-25,
Khuen-Héderváry,Teleki,comma,llm,google/gemma-4-31b,2026-08-25,"Aufzählung verschiedener Personen in einer Gästeliste (Gräfin Khuen-Héderváry, Teleki, Erbgraf Königsegg etc.)."
Kie,pach-Haselburg,join,llm,google/gemma-4-31b,2026-08-25,"Das Wort ist Teil des Doppelnamens 'Kiepach-Haselburg'; der Umbruch erfolgt mitten im ersten Namensteil, wobei der zweite Teil klein geschrieben ist."
Kindes,kindern,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben; es handelt sich um das zusammengesetzte Wort 'Kindeskindern' (Enkelkinder) im Dativ Plural.
Kl,aus,period,llm,google/gemma-4-31b,2026-08-25,Kl. ist hier die Abkürzung für Klasse (Militärverdienstkreuz 3. Kl.).
Klavier,spieler,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und bildet zusammen mit dem ersten Teil das zusammengesetzte Substantiv 'Klavierspieler'.
Klaviervirtuosen,Prof,split,llm,google/gemma-4-31b,2026-08-25,Die Berufsbezeichnung 'Klaviervirtuosen' steht vor dem Titel 'Prof.' des folgenden Namens; hier gehört kein Satzzeichen hin.
Km,Herr,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Aufzählung von Titeln und Prädikaten einer Person ('k. u. k. Km., Herr auf Basthorst' bzw. 'Herr und Landmann'), was in diesen Namenslisten typischerweise durch Kommata getrenn"
Knaffl,Lenz,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelnamen, was durch die Häufigkeiten im Korpus und den Singular des Relativpronomens ('der') in Textstelle 2 bestätigt wird."
Kneusel,Herdliczka,hyphen,llm,google/gemma-4-31b,2026-08-25,"Doppelname des Adels, analog zum vorangehenden 'Iklódy-Szabó' im selben Kontext."
Kohlen,zufuhr,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und beide Teile bilden zusammen das Substantiv 'Kohlenzufuhr'.
Kolowrat,Krakowský-Liebsteinsky,hyphen,llm,google/gemma-4-31b,2026-08-25,Doppelname des Adels
Kolowrat-Krakowský,Liebsteinsky,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen zusammengesetzten Familiennamen des Hochadels (Dreifachname), bei dem die einzelnen Namensteile mit Bindestrichen verbunden werden."
Komm,Rat,period,llm,google/gemma-4-31b,2026-08-25,"Abkürzung von Kommerzialrat (Komm. Rat), analog zum Beispiel 'Geh. Rat'."
Komm,Rates,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung des Titels Kommerzialrat (Komm. Rates)
Komp,Führer,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein abgekürztes Substantiv-Kompositum (Kompanie-Führer), das in dieser Zeitung typischerweise mit Bindestrich gesetzt wird."
Komtessen,kreis,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'kreis' ist kleingeschrieben, was auf ein zusammengesetztes Substantiv (Komtessenkreis) hindeutet; zudem verlangt der Artikel 'den' im ersten Beispiel ein folgendes Objekt."
Komturkreuz,des,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine einfache Genitivkonstruktion (Substantiv + Artikel), bei der kein Satzzeichen oder Bindestrich stehen darf."
Konrad,Grafen,split,llm,google/gemma-4-31b,2026-08-25,Vorname gefolgt vom Titel derselben Person
Kons,Rat,period,llm,google/gemma-4-31b,2026-08-25,"Abkürzung des Titels Konsistorialrat, analog zum Beispiel 'Geh. Rat'."
Konser,vativismus,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und beide Teile bilden zusammen das Wort 'Konservativismus'.
Kontre,Adm,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Konteradmiral), das in dieser Zeitung häufig mit Bindestrich gesetzt wird; zudem ist der zweite Teil großgeschrieben."
Konz,Prakt,period,llm,google/gemma-4-31b,2026-08-25,"Der linke Teil 'Konz.' ist eine gängige Abkürzung für 'Konzipist' (ein Beamtenrang), gefolgt von der Abkürzung 'Prakt.' für 'Praktikant'. Dies entspricht dem Muster von Titelabkürzungen wie 'Geh. Rat'"
Korv,Kpt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Abkürzung des Titelkompositums 'Korvettenkapitän' (Korv.-Kpt.), was auch in den Textbeispielen 2 und 3 explizit durch einen Bindestrich markiert ist."
Korv,Kptn,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Korvettenkapitän), das hier in der Form 'Korv.-Kptn.' abgekürzt wird; die Textbeispiele bestätigen den Bindestrich vor dem Zeilenumbruch."
Kps,Kmdo,period,llm,google/gemma-4-31b,2026-08-25,"Kps. ist eine Abkürzung (für Kapitäns), gefolgt von einer weiteren Abkürzung (Kmdo für Kommando); analog zum Beispiel 'Geh. Rat'."
Kreis,Iglau,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine geografische Bezeichnung (Bezirk Iglau), die aus zwei getrennten Wörtern besteht."
Kriegs,küchenaktion,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil ist kleingeschrieben, was auf eine Worttrennung innerhalb eines Komposikums hindeutet; 'Kriegsküchenaktion' ist ein einziges Wort."
Kunstdruck,Abonnementspreise,hyphen,llm,google/gemma-4-31b,2026-08-25,Kompositum aus zwei Substantiven; zudem findet sich im selben Kontext die analoge Form 'Kunstdruck-Ausgabe'.
Kunstdruck,Für,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Aufzählung von Abonnementspreisen für verschiedene Regionen. Das Muster ist 'Region: Preis; Kunstdruck-Preis, Nächste Region'. Da zuvor die Regionen durch ein Komma getrennt wu"
Kunstgewerbe,museum,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'museum' ist kleingeschrieben, was auf eine Worttrennung im Stamm eines zusammengesetzten Substantivs hindeutet."
Kuppel,saal,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und bildet zusammen mit dem ersten Teil das zusammengesetzte Substantiv 'Kuppelsaal'.
Kurs,ausschreitungen,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben; es handelt sich um das zusammengesetzte Substantiv 'Kursausschreitungen'.
Kurt,Lieser,split,llm,google/gemma-4-31b,2026-08-25,Vorname und Nachname einer Person werden ohne Satzzeichen getrennt geschrieben.
Köhlers,dorf,join,llm,google/gemma-4-31b,2026-08-25,"Köhlersdorf ist ein Ortsname; der zweite Teil ist kleingeschrieben, was auf eine Worttrennung hindeutet."
König,Carols,split,llm,google/gemma-4-31b,2026-08-25,Titel und Name derselben Person werden ohne Satzzeichen getrennt geschrieben.
König,Sohn,hyphen,manual,,2026-08-25,unklar
König,in,split,llm,google/gemma-4-31b,2026-08-25,In Beispiel 2 ist 'König' das Subjekt ('der König') und 'in Begleitung' eine präpositionale Phrase; ein Zusammenfügen zu 'Königin' würde den Artikel 'der' grammatikalisch falsch machen. In Beispiel 1
Königs,Wilhelm,split,llm,google/gemma-4-31b,2026-08-25,Titel/Prädikat (König) und Name (Wilhelm II.) derselben Person werden ohne Satzzeichen getrennt.
Künstler,in,split,llm,google/gemma-4-31b,2026-08-25,"Der rechte Teil 'in' ist hier eine Präposition, die den Ort angibt ('in der ungarischen Hauptstadt'), kein Suffix."
Kür,Rgts,hyphen,llm,google/gemma-4-31b,2026-08-25,Abkürzung eines zusammengesetzten Substantivs (Kürassier-Regiments).
La,Baule,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den französischen Ortsnamen 'La Baule', der aus zwei getrennten Wörtern besteht."
Lame,zan-Salins,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt klein ('zan'), was auf eine Worttrennung mitten im Namen hindeutet; es handelt sich um den Doppelnamen Lamezan-Salins."
Lanc,korońska,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und es handelt sich um den polnischen Adelsnamen Lanckorońska.
Lanckorońska,Graf,comma,llm,google/gemma-4-31b,2026-08-25,Aufzählung von zwei verschiedenen Personen (Kranzelpaar).
Landes,Hptm,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum, bei dem das erste Glied auf -s endet und der zweite Teil (Abkürzung für Hauptmann) großgeschrieben ist; dies entspricht der im Text belegten Schreibweise"
Landes,verteidigungsministers,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil ist kleingeschrieben, was auf eine Worttrennung mitten im Stamm eines Komposikums hindeutet."
Landes-Kinderschutz,liga,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil ist kleingeschrieben, was auf eine Worttrennung im Stamm hindeutet; es handelt sich um den Begriff 'Landes-Kinderschutzliga'."
Landtags,Präs,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Landtags-Präsident), bei dem das erste Glied auf -s endet; 'Präs.' ist die gängige Abkürzung für Präsident."
Lane,Theatre,hyphen,llm,google/gemma-4-31b,2026-08-25,Das Korpus belegt die Form 'Lane-Theatre'; zudem wurden im späten 19. Jahrhundert Fremdwörter in Komposita oft mit Bindestrich gekoppelt.
Larisch-Mön,nich,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil 'nich' ist kleingeschrieben und vervollständigt den Namen 'Larisch-Mönnich'.
Ldes,Hptm,period,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um eine Abkürzung eines Titelkompositums (Landes-Hauptmann). Gemäß der Faustregel für Abkürzungen wie 'Geh. Rat' ist hier die Form 'period' korrekt.
Ldes,Kulturrates,period,llm,google/gemma-4-31b,2026-08-25,Ldes. ist die gängige Abkürzung für Landes (hier im Sinne von Landes-Kulturrat); gemäß Faustregel führt eine Abkürzung am Zeilenende zu 'period'.
Ldesger,Rat,period,llm,google/gemma-4-31b,2026-08-25,Ldesger ist eine OCR-Fehlform der Abkürzung 'Landesger.' (für Landesgericht); die Kombination 'Landesger. Rat' ist ein typischer Titel.
Ldesvert,Min,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Landesverteidigungs-Ministerium/-Minister). Laut Faustregel ist bei Gliedern, die auf -ungs enden (Ldesvert. = Landesverteidigungs-), 'hyphen' sehr wahrsc"
Ldesverw,Kommission,period,llm,google/gemma-4-31b,2026-08-25,Der linke Teil 'Ldesverw' ist eine offensichtliche Abkürzung für 'Landesverwaltung'; gemäß den Regeln führt eine Abkürzung am Zeilenumbruch zur Form 'period'.
Ldst,Bat,period,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um zwei Abkürzungen (Ldst. für Landestruppen, Bat. für Bataillon), die im militärischen Kontext dieser Zeit typischerweise mit Punkt und Leerzeichen getrennt werden."
Ldst,Lt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Landsturm-Leutnant), die in dieser Zeitung konsequent mit Bindestrich bzw. '=' gesetzt werden."
Ldst,Oblt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Landsturm-Oberleutnant), die in dieser Zeitung typischerweise mit Bindestrich gesetzt werden."
