verdict,margin_band,token_band,has_next,observed,proposed,margin,context,file,page,line_facs,subtype,transkribus_link
n,>=12,short,1,den,des,15.0,"Tee besichtigten die Hoheiten, geführt vom Préfet, [den] Cercle",ONB_wsb_19290414.xml,2,facs_2_tr_1753561089_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=12,short,1,dem,der,12.7,deren Ertrag [dem] oben,ONB_wsb_19141128.xml,9,facs_9_tr_1784277053_tl_14,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=12,short,1,dem,den,12.4,"deren Gerassel nicht mehr zu hören. Die Freude, [dem] Winter",ONB_wsb_19290303.xml,20,facs_20_tr_1753561376_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=20
n,>=12,short,1,de,di,15.1,— In Madrid der Duca [de] Montalto,ONB_wsb_19220304.xml,5,facs_5_tr_1748188110_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=12,short,1,vor,von,15.5,"Gesamtprogramm, welches unter anderem Werke [vor] Bach",ONB_wsb_19260321.xml,10,facs_10_tr_1752222374_tl_14,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,short,1,dar,das,13.7,nuela v. Götzen geb. Gräfin Khuen v. Belasi [dar] die,ONB_wsb_19180126.xml,5,facs_5_tr_1769553005_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=12,short,1,daß,das,14.7,"geben und bewiesen, [daß] nationale",ONB_wsb_19380612.xml,14,facs_14_tr_1766143997_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=12,short,1,des,der,12.7,Herrschaft Mauerbach. Letztere umfaßt die Gründe [des] aufgehobenen,ONB_wsb_19140822.xml,4,facs_4_tr_1784277335_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=12,short,1,der,den,12.5,wie in ganz Istrien [der] innigsten,ONB_wsb_19150206.xml,12,facs_12_r_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=12,short,1,ab,an,14.4,schließt das erste Halbjahr der Europäischen Revue [ab] die,ONB_wsb_19250906.xml,16,facs_16_tr_1751545648_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
y,>=12,short,1,der,dei,13.4,Gerardo Conte Dentice [der] Principi,ONB_wsb_19140228.xml,7,facs_7_tr_1784277944_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=12,short,1,vom,von,14.1,Tochter des Statthalters [vom] Burgenland,ONB_wsb_19370221.xml,4,facs_4_tr_1766143214_tl_24,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=12,short,1,aus,auf,12.6,anderen Prinz und Prinzessin Heinrich XXXIV. Reuß [aus] Stonsdorf,ONB_wsb_19331119.xml,14,facs_14_tr_1762177740_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=12,short,1,den,der,12.7,"den Grafen Manfred (vermählt mit Marie v. Pongratz), [den] LinienschLt",ONB_wsb_19140501.xml,10,facs_10_tr_1784277738_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,short,1,uns,und,12.2,Derartige Modelaunen können wir Wiener [uns] wahrhaft,ONB_wsb_19190330.xml,10,facs_10_tr_1734018675_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=12,short,1,der,des,15.5,heimgefallen. Am 12. d. M. wurde im Ministerium [der] Außern,ONB_wsb_19170520.xml,4,facs_4_tr_1779049157_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=12,short,1,dem,des,14.8,"Heimes, dessen Aufblühen [dem] achtzigjährigen",ONB_wsb_19260221.xml,3,facs_3_tr_1752222226_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,short,1,dar,das,14.2,"Volney erschienen, der in langen Zacken endigte und [dar] unter",ONB_wsb_19230929.xml,7,facs_7_tr_1750157429_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,long,1,schönem,schönen,10.1,als rheinisch warm beseeltem Geiger von blühend [schönem] Ton,ONB_wsb_19190208.xml,10,facs_10_tr_1732357133_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,long,1,welchen,welchem,10.5,"stattgefunden, bei [welchen] jedesmal",ONB_wsb_19300216.xml,15,facs_15_tr_1754164990_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=10,long,1,gehe,geht,10.1,zelnen Gegenstände nunmehr recht flott vonstatten [gehe] damit,ONB_wsb_19190525.xml,12,facs_12_tr_1732823306_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,weißer,weißem,11.4,"noch zwei besondere Kleider erwähnt. Das eine, [weißer] Velours",ONB_wsb_19240202.xml,6,facs_6_tr_1751061320_tl_23,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,vieler,vielen,11.0,In den Wintermonaten leidet die Gesundheit [vieler] Menschen,ONB_wsb_19330716.xml,12,facs_12_tr_1762177638_tl_1,ad-content,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,diesem,dieser,10.9,Um mich von [diesem] unglückseligen,ONB_wsb_19190208.xml,9,facs_9_tr_1732357149_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,long,1,volles,vollen,10.7,"zügiger, tüchtiger Geschäftsmann. Aber er hatte [volles] und",ONB_wsb_19231110.xml,9,facs_9_tr_1750157529_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,long,1,weißer,weißen,11.7,sener kostbarer [weißer] Brauttoilette,ONB_wsb_19301109.xml,6,facs_6_tr_1754165105_tl_14,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,diesen,diesem,11.3,werke kommt dem Chor solche Bedeutung zu. In [diesen] herben,ONB_wsb_19310705.xml,16,facs_16_tr_1758291007_tl_23,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
y,>=10,long,1,aller,allen,11.4,"Immendorfer Pfarrkirche, der Schloßkapelle und in [aller] Patronatskirchen",ONB_wsb_19251129.xml,13,facs_13_tr_1751545384_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=10,long,1,unserer,unseren,12.0,patriotischen Geistes und Inhaltes und wurde von [unserer] wackeren,ONB_wsb_19141114.xml,11,facs_11_tr_1784277097_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=10,long,1,unseren,unserem,11.6,trauen auf den Allmächtigen habe ich den von [unseren] gemeinsamen,ONB_wsb_19141114.xml,2,facs_2_tr_1784277105_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=10,long,1,unserer,unseren,10.3,tiven zu gestalten. Daß das Publikum Vertrauen zu [unserer] Unternehmungen,ONB_wsb_19180216.xml,12,facs_12_tr_1769553097_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=10,long,1,jeder,jeden,10.3,"dauernden Sitzungen zum Souper auf, welches für [jeder] einzelnen",ONB_wsb_19190427.xml,8,facs_8_tr_1732379863_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=10,long,1,gelungener,gelungenen,10.9,und wurde beifälligst aufgenommen. Ein gut [gelungener] Abend,ONB_wsb_19290512.xml,17,facs_17_tr_1753561208_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=10,long,1,seinem,seiner,10.2,"Großkordon des Osmaniëh-Ordens mit Brillanten, und [seinem] Begleiter",ONB_wsb_19161028.xml,7,facs_7_l_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,long,1,seines,seiner,10.0,v. u. z. Liechtenstein erhielt in Anerkennung [seines] eifrigen,ONB_wsb_19170407.xml,4,facs_4_tr_1779049295_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=10,long,1,bieten,bietet,10.1,Die Zeichnungen auf die sechste Kriegsanleihe [bieten] das,ONB_wsb_19170623.xml,12,facs_12_tr_1779049079_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,übersiedelt,übersiedeln,11.6,Gräfin Mikes [übersiedelt] mit,ONB_wsb_19180831.xml,5,facs_5_tr_1769554003_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=10,long,1,jedem,jeder,10.9,Streitmann. Jeder und [jedem] Gelegenheit,ONB_wsb_19171118.xml,10,facs_10_tr_1779048698_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,long,1,schwarzen,schwarzem,11.2,or mit Paradiesreiher. Frau Ottilie Hoffmann [schwarzen] Crêpe,ONB_wsb_19220722.xml,4,facs_4_tr_1748188227_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=10,long,1,betrauert,betrauern,11.2,Augen für immer. In dem Dahingeschiedenen [betrauert] Prinzessin,ONB_wsb_19320522.xml,12,facs_12_tr_1761041314_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=10,long,1,eleganter,eleganten,11.4,"nahm einem Hutkoffer einen wunderhübschen, [eleganter] Hut",ONB_wsb_19250531.xml,14,facs_14_tr_1751545732_tl_20,ad-content,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=10,long,1,großartigen,großartiger,10.2,Beer mit der alten [großartigen] Wirkung,ONB_wsb_19230324.xml,10,facs_10_tr_1750157364_tl_19,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,long,1,reizender,reizenden,11.9,"trug, entzückend aussah, war von einem Kranze [reizender] Kranzeljungfern",ONB_wsb_19340701.xml,6,facs_6_tr_1763317876_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,diesen,dieser,11.9,bar in [diesen] schicksalsschweren,ONB_wsb_19340812.xml,11,facs_11_l_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=10,long,1,schwerem,schweren,11.3,entsprechend verwerten und können nur mit [schwerem] Verluste,ONB_wsb_19181228.xml,12,facs_12_tr_1769552420_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,seinem,seiner,11.9,"Königs, die er einmal [seinem] damaligen",ONB_wsb_19380109.xml,6,facs_6_tr_1766143726_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,reichen,reiches,10.4,"Klitsch sprach die Titelpartie mit seinem großen, [reichen] Können",ONB_wsb_19260307.xml,14,facs_14_tr_1752222513_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=10,long,1,gleichem,gleichen,12.0,deutschen Reichswehr Rudolf Graf Görtz zu [gleichem] Zwecke,ONB_wsb_19261226.xml,10,facs_10_tr_1752222333_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,short,1,den,der,10.8,cher Seine Hoheit der Herzog v. Hohenberg [den] Tätigkeitsbericht,ONB_wsb_19370321.xml,13,facs_13_tr_1766143298_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=10,short,1,den,der,10.7,"linis erkannte und den Wunsch zur Verständigung, [den] sowohl",ONB_wsb_19341202.xml,18,facs_18_tr_1763318099_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=18
n.,>=10,short,1,ung,und,10.6,"k. u. k. Km., GehRates und kgl. [ung] StaatsSekr",ONB_wsb_19360712.xml,6,facs_6_tr_1765493311_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,short,1,da,di,11.9,"auf Clavecin, Viola [da] Gamba",ONB_wsb_19230127.xml,3,facs_3_tr_1750157471_tl_21,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,uns,und,10.0,"Frau Pieschl-Friedhorst, hatte die Liebenswürdigkeit, [uns] zu",ONB_wsb_19211210.xml,11,facs_11_tr_1742402814_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=10,short,1,vor,von,12.0,vollkommen unversehrt. — Seine Majestät reiste [vor] Madrid,ONB_wsb_19280429.xml,2,facs_2_l,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,1,es,er,10.1,"währ, daß das Hotel Sacher wieder das wird, was [es] einstens",ONB_wsb_19350407.xml,6,facs_6_tr_1764797405_tl_7,ad-content,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
y,>=10,short,1,der,dei,11.9,"Ludovico, Witwer nach Donna Anna Aldobrandini [der] Principi",ONB_wsb_19141107.xml,11,facs_11_tr_1784277116_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=10,short,1,vor,von,11.9,führte in originellen Kostümen exzentrische Tänze [vor] besonderen,ONB_wsb_19290512.xml,17,facs_17_tr_1753561213_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=10,short,1,ung,und,11.0,"verwesers v. Horthy, kgl. [ung] GehRat",ONB_wsb_19380626.xml,15,facs_15_tr_1766144013_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=10,short,1,den,des,11.8,"Oberhausmitglied Dr. Andreas v. Rakovszky, [den] Reichstagsabgeordneten",ONB_wsb_19370725.xml,7,facs_7_tr_1766143497_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,short,1,aus,auf,11.5,führte im wesentlichen [aus] daß,ONB_wsb_19280415.xml,2,facs_2_tr_1753391596_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,1,daß,das,11.7,"zend zur Wirkung kommen! Und das Erfreulichste ist, [daß] viel",ONB_wsb_19301220.xml,19,facs_19_tr_1754165116_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=19
n,>=10,short,1,ihm,ihn,10.1,tiere. Der Fürst antwortete [ihm] eigenhändig,ONB_wsb_19270403.xml,13,facs_13_tr_1752356455_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=10,short,1,er,es,10.7,"J. L., Chef des 1. Zweiges des 2. Astes seines Hauses, [er] folgte",ONB_wsb_19180629.xml,2,facs_2_tr_1769553704_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,1,uns,und,11.8,von denen [uns] Oblt,ONB_wsb_19341021.xml,13,facs_13_r_2_tl_14,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=10,short,1,ung,und,10.1,"Rat, Sektionschefs im Ministerium des Innern und kgl. [ung] Ministers",ONB_wsb_19341202.xml,6,facs_6_tr_1763318091_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,short,1,ung,und,10.2,In Budapest schloß am 1. September der kgl. [ung] ORegRat,ONB_wsb_19321009.xml,10,facs_10_tr_1761041493_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,short,1,dei,der,11.8,"Mocenigo, mit dem Conte Don Antonio Alvares, [dei] Duca",ONB_wsb_19260725.xml,8,facs_8_tr_1752222585_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=10,short,1,ung,und,10.6,"Fräulein Lily v. Jármay, die Tochter des kgl. [ung] StaatsSekr",ONB_wsb_19360209.xml,15,facs_15_tr_1765493125_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=10,short,1,ung,und,11.1,"In Albertirsa verschied der k. u. k. Km., kgl. [ung] MinRat",ONB_wsb_19321120.xml,13,facs_13_tr_1761041539_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
y,>=10,short,1,der,den,10.2,"zessin Ileana am 16. d. M. in Bayreuth ein, um [der] Festspielen",ONB_wsb_19300720.xml,10,facs_10_tr_1754164763_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,short,1,ung,und,10.0,Seine Exz. der kgl. [ung] MinPräs,ONB_wsb_19260725.xml,3,facs_3_tr_1752222604_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,ung,und,11.3,"Helene v. Csikvándy, die Tochter des kgl. [ung] Reichstagsabgeordneten",ONB_wsb_19380626.xml,8,facs_8_tr_1766144028_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=10,short,1,vor,von,11.9,"einsame Weg«, darin Bassermann, der den Herrn [vor] Sala",ONB_wsb_19251129.xml,14,facs_14_tr_1751545378_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=10,short,1,ung,und,10.8,In Budapest verstarb am 15. d. M. der kgl. [ung] Obst,ONB_wsb_19371031.xml,12,facs_12_tr_1766143643_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,short,1,vor,von,10.0,In Anettenhöh [vor] Schleswig,ONB_wsb_19231222.xml,9,facs_9_tr_1750157592_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,short,1,im,in,11.0,"Komtesse Wenckheim, [im] Tango",ONB_wsb_19280624.xml,7,facs_7_tr_1753391362_tl_23,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=10,short,1,der,den,11.3,Reichsverwesers und seiner Gemahlin. Unter [der] Gästen,ONB_wsb_19360126.xml,16,facs_16_tr_1765493069_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
y,>=10,short,1,den,dem,11.0,"Oberösterreich, lebt seit [den] Tode",ONB_wsb_19160610.xml,9,facs_9_tr_1780432229_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=8,long,1,trauern,trauert,9.6,einen schweren Verlust. Um die Dahingeschiedene [trauern] noch,ONB_wsb_19271113.xml,12,facs_12_tr_1752356443_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=8,long,1,seinen,seiner,8.5,"das Bild des unvergeßlichen Monarchen, der in [seinen] Pflichten",ONB_wsb_19290414.xml,16,facs_16_tr_1753561107_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=8,long,1,dieser,dieses,8.7,essant die glänzend gesehene und gezeichnete Figur [dieser] einzigartigen,ONB_wsb_19371031.xml,12,facs_12_tr_1766143637_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=8,long,1,stürmischem,stürmischen,9.5,erkannt und mit [stürmischem] Jubel,ONB_wsb_19170929.xml,4,facs_4_tr_1779048837_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=8,long,1,einer,einen,9.6,"im DragRgte Nr. 7, und [einer] Halbbruder",ONB_wsb_19161223.xml,13,facs_13_r_tl_26,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=8,long,1,vollem,vollen,8.9,doch wiederum in [vollem] Betrieb,ONB_wsb_19321106.xml,6,facs_6_tr_1761041535_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,long,1,dieses,dieser,8.8,blichenen die letzten Tage [dieses] wahrhaft,ONB_wsb_19331119.xml,9,facs_9_tr_1762177743_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=8,long,1,einer,einem,9.7,"wohin der Herzog den Künstler beschied, lag auf [einer] beträchtlichen",ONB_wsb_19251115.xml,6,facs_6_tr_1751545695_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,long,1,seiner,seinen,8.9,"nung. Ein Liebling seiner Kameraden, der Stolz [seiner] Vorgesetzten",ONB_wsb_19170818.xml,6,facs_6_tr_1779048937_tl_11,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,long,1,ihrem,ihren,8.6,in Baden bei [ihrem] Stiefbruder,ONB_wsb_19180608.xml,3,facs_3_r_3_tl_28,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,long,1,seinen,seiner,8.1,"Schreiber dieser Zeilen, aufgefordert, den Prinzen in [seinen] freien",ONB_wsb_19290317.xml,9,facs_9_tr_1753561296_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=8,long,1,dieser,diesem,8.8,vereinen kann. Bis [dieser] Augenblick,ONB_wsb_19210416.xml,3,facs_3_tr_1748027701_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,long,1,schöner,schönen,9.5,"Gesangskünstlerin, durchgeistigt im Spiel, mit selten [schöner] Stimme",ONB_wsb_19281125.xml,10,facs_10_tr_1753391427_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=8,long,1,neue,neun,9.0,"Erde« als Kinderfreude, und [neue] Kinder",ONB_wsb_19240301.xml,15,facs_15_tr_1751061347_tl_18,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=8,long,1,geistigen,geistiger,9.1,sönlichkeitsbedeutung wieder zur Grundlage aller [geistigen] und,ONB_wsb_19370711.xml,15,facs_15_tr_1766143477_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=8,long,1,einiger,einigen,9.9,Viktor Léon und Hubert Marischka. Während [einiger] Szenen,ONB_wsb_19210319.xml,8,facs_8_tr_1748027544_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,long,1,unserer,unseren,9.6,"ist, der Unternehmungsgeist unserer Finanzleute und [unserer] Industriellen",ONB_wsb_19160101.xml,11,facs_11_tr_1780432646_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,long,1,trauern,trauert,9.8,die Dahingeschiedene [trauern] ihre,ONB_wsb_19260502.xml,9,facs_9_tr_1752222405_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=8,long,1,gutem,gutes,8.3,schlug die beiden anderen in sehr [gutem] Spiel,ONB_wsb_19280401.xml,8,facs_8_tr_1753391492_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,long,1,trauern,trauert,9.5,unvermählt. An der Bahre des Dahingeschiedenen [trauern] noch,ONB_wsb_19330423.xml,15,facs_15_tr_1762177583_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=8,long,1,ihrer,ihrem,8.4,"ter&quot; von Paul Manelski, „Verschneit&quot; von Otto Porjos, in [ihrer] sympathischen",ONB_wsb_19330409.xml,10,facs_10_tr_1762177588_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=8,long,1,längeren,längerem,8.4,in Mähren zu [längeren] Aufenthalte,ONB_wsb_19150227.xml,5,facs_5_tr_1781989008_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,long,1,eines,einer,9.2,jungen Edelmannes. Man mag den Errungenschaften [eines] demokratischen,ONB_wsb_19321218.xml,14,facs_14_tr_1761041564_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=8,long,1,seinen,seinem,9.1,4tägigen Urlaub an und gab das Milkommando an [seinen] Stellvertreter,ONB_wsb_19180706.xml,4,facs_4_tr_1769553745_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=8,long,1,ihren,ihrem,9.4,"geb. Gräfin Maria Hovos, die einige Zeit in [ihren] hiesigen",ONB_wsb_19210430.xml,2,facs_2_tr_1745573344_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,long,1,aller,alles,9.6,humorvolle Werk ganz [aller] erstklassig,ONB_wsb_19181214.xml,9,facs_9_r_1_tl_17,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=8,long,1,allen,aller,8.2,"die, fern jeder steifen Etikette, wahren Kontakt mit [allen] Geladenen",ONB_wsb_19360517.xml,7,facs_7_tr_1765493233_tl_11,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
