verdict,margin_band,token_band,has_next,observed,proposed,margin,context,file,page,line_facs,subtype,transkribus_link
n,>=10,short,0,ab,am,10.6,"Kreuz-Fürsorge geweilt, nach dem Stifte Einsiedeln [ab]  [paragraph ends]",ONB_wsb_19170120.xml,7,facs_7_tr_1779049523_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,short,0,ab,am,10.4,und stiegen im Park-Hotel Pupp [ab]  [paragraph ends],ONB_wsb_19330813.xml,3,facs_3_tr_1762177669_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,0,ab,an,10.8,Schweiz hier an und stieg im »Hotel Metropole« [ab]  [paragraph ends],ONB_wsb_19151002.xml,8,facs_8_tr_1781988398_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=10,short,0,ab,am,10.4,im »Grand Hotel Pupp« [ab]  [paragraph ends],ONB_wsb_19160617.xml,5,facs_5_tr_1780432194_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=10,short,0,ab,am,11.1,„Hotel Vindobona“ [ab]  [paragraph ends],ONB_wsb_19140117.xml,7,facs_7_tr_1784278096_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,short,0,ab,am,10.8,ein und stiegen im Rudolfshof [ab]  [paragraph ends],ONB_wsb_19300706.xml,2,facs_2_tr_1754164801_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,0,ab,am,11.3,Hotel Quellenhof [ab]  [paragraph ends],ONB_wsb_19330730.xml,6,facs_6_tr_1762177669_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,short,0,ab,am,10.6,Prangins [ab]  [paragraph ends],ONB_wsb_19210430.xml,2,facs_2_tr_1745573341_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,0,ab,am,10.3,»Stadt Moskau« [ab]  [paragraph ends],ONB_wsb_19190802.xml,2,facs_2_tr_1734391097_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,0,ab,am,10.3,Se. kgl. Hoheit sodann nach Rovigno und Pola [ab]  [paragraph ends],ONB_wsb_19230804.xml,3,facs_3_tr_1750157472_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,0,ab,an,10.5,28. Dez. für drei Monate nach Südafrika [ab]  [paragraph ends],ONB_wsb_19240105.xml,12,facs_12_tr_1751061587_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,short,0,dar,das,10.2,die Hauptrollen [dar]  [paragraph ends],ONB_wsb_19240824.xml,15,facs_15_tr_1751061313_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=10,short,0,ab,am,10.4,Pupp [ab]  [paragraph ends],ONB_wsb_19290707.xml,11,facs_11_tr_1753560967_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=10,short,0,ab,am,10.2,mering ein und stiegen im »Hotel Panhans« [ab]  [paragraph ends],ONB_wsb_19140912.xml,5,facs_5_tr_1784277259_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=10,short,0,ab,am,10.8,stiegen im Rudolfshof [ab]  [paragraph ends],ONB_wsb_19340812.xml,3,facs_3_tr_1763317930_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,ung,und,10.6,"buy, den kgl. StaatsSekr. Bodrero und den kgl. [ung] Min",ONB_wsb_19271127.xml,3,facs_3_tr_1752356132_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,Dem,Der,11.0,"nahm, im Schloßhof statt. [Dem] Sarg",ONB_wsb_19341007.xml,10,facs_10_r_tl_21,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=10,short,1,den,dem,10.2,glieder des Reichsbundes der Oesterreicher unter [den] Vorsitze,ONB_wsb_19260530.xml,2,facs_2_tr_1752222320_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,1,Gen,Ges,11.9,der polnische [Gen] Emil,ONB_wsb_19250809.xml,9,facs_9_r_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,short,1,di,du,11.9,Duca Caracciola [di] Brienza,ONB_wsb_19320703.xml,9,facs_9_tr_1761041365_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
y,>=10,short,1,der,den,11.3,Dejeuner. Unter [der] Gästen,ONB_wsb_19221230.xml,2,facs_2_tr_1748188350_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,short,1,ab,am,10.5,Dienst als Befehlshaber im Wehrkreis II in Stettin [ab] GenLt,ONB_wsb_19380403.xml,6,facs_6_tr_1766143910_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,short,1,ung,und,10.6,"k. u. k. Km., GehRates und kgl. [ung] StaatsSekr",ONB_wsb_19360712.xml,6,facs_6_tr_1765493311_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,short,1,vor,von,10.0,In Anettenhöh [vor] Schleswig,ONB_wsb_19231222.xml,9,facs_9_tr_1750157592_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,short,1,ab,am,10.2,der Kolowrat ließ daselbst ein prachtvolles Feuerwerk [ab] brennen,ONB_wsb_19240608.xml,3,facs_3_tr_1751061382_tl_17,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,den,des,11.8,"Oberhausmitglied Dr. Andreas v. Rakovszky, [den] Reichstagsabgeordneten",ONB_wsb_19370725.xml,7,facs_7_tr_1766143497_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,short,1,ung,und,10.0,Seine Exz. der kgl. [ung] MinPräs,ONB_wsb_19260725.xml,3,facs_3_tr_1752222604_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,uns,und,10.0,"Frau Pieschl-Friedhorst, hatte die Liebenswürdigkeit, [uns] zu",ONB_wsb_19211210.xml,11,facs_11_tr_1742402814_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=10,short,1,di,de,10.3,"Principe di Cerveteri, Marchese di Riano, 14. Conte [di] Vignanello",ONB_wsb_19240907.xml,4,facs_4_tr_1751061620_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=10,short,1,ab,an,10.4,Stauds wickelt sich ein recht unterhaltsamer Abend [ab] Frau,ONB_wsb_19290901.xml,12,facs_12_tr_1753561137_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,short,1,da,di,11.9,"auf Clavecin, Viola [da] Gamba",ONB_wsb_19230127.xml,3,facs_3_tr_1750157471_tl_21,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=10,short,1,daß,das,10.4,"Börsensaale vor sich gehen wird. Das hat den Vorteil, [daß] Angebot",ONB_wsb_19160226.xml,11,facs_11_tr_1780432505_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,long,0,stattfindet,stattfinden,8.9,und Alice Grab-Hermannswörth am 15. Jänner [stattfindet]  [paragraph ends],ONB_wsb_19240105.xml,12,facs_12_tr_1751061584_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=8,long,0,übersiedeln,übersiedelt,9.7,Adldorf wieder in ihr Münchner Heim [übersiedeln]  [paragraph ends],ONB_wsb_19361101.xml,10,facs_10_tr_1765493466_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=8,long,0,leiden,leidet,9.9,unter diesem Vorgehen Englands schwer [leiden]  [paragraph ends],ONB_wsb_19141024.xml,11,facs_11_tr_1784277158_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,long,0,befinden,befindet,8.4,Maritta und Katyi Teleki [befinden]  [paragraph ends],ONB_wsb_19300831.xml,4,facs_4_tr_1754164951_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,long,0,Kreisen,Kreises,9.0,Aus militärischen [Kreisen]  [paragraph ends],ONB_wsb_19180608.xml,11,facs_11_tr_1769553618_tl_1,heading,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,long,0,stattfindet,stattfinden,8.1,und von 1—½3 Uhr [stattfindet]  [paragraph ends],ONB_wsb_19201225.xml,4,facs_4_tr_1738871858_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,long,0,übersiedeln,übersiedelt,9.0,Monats nach ihrer Neuwaldegger Villa [übersiedeln]  [paragraph ends],ONB_wsb_19220513.xml,8,facs_8_tr_1748188153_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,long,0,Gerhard,Gerhart,8.6,Frau Kommerzialrat I. B. mit ihrem Sohne [Gerhard]  [paragraph ends],ONB_wsb_19341230.xml,9,facs_9_tr_1763318149_tl_1,image-caption,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=8,long,0,bilden,bildet,8.7,schen Hauptstadt [bilden]  [paragraph ends],ONB_wsb_19250405.xml,6,facs_6_tr_1751545529_tl_23,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,long,0,stattfinden,stattfindet,9.1,des kommenden Jahres [stattfinden]  [paragraph ends],ONB_wsb_19321204.xml,6,facs_6_tr_1761041583_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,long,0,Cary,Carl,8.5,Ida Freifrau von Drathschmidt geb. Ellissen mit ihrem Sohne [Cary]  [paragraph ends],ONB_wsb_19190118.xml,5,facs_5_r_11_tl_1,image-caption,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,long,0,findet,finden,8.2,Herrenreitern großes Interesse [findet]  [paragraph ends],ONB_wsb_19350210.xml,16,facs_16_tr_1764797331_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=8,long,0,Theresa,Therese,9.1,"Karlsbad, Villa [Theresa]  [paragraph ends]",ONB_wsb_19330730.xml,4,facs_4_tr_1762177664_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,long,0,stattfinden,stattfindet,9.1,Oktober dieses Jahres [stattfinden]  [paragraph ends],ONB_wsb_19160708.xml,5,facs_5_tr_1780432133_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,long,0,bildet,bilden,9.2,schönste Aufgabe Meines Lebens [bildet]  [paragraph ends],ONB_wsb_19150703.xml,2,facs_2_tr_1781988644_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,long,0,leiten,leitet,9.9,lich den Basar ihres Herminen-Hilfswerkes selbst [leiten]  [paragraph ends],ONB_wsb_19351117.xml,4,facs_4_tr_1764797720_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,long,0,befindet,befinden,9.1,miliengruft der Fürsten Stirbey [befindet]  [paragraph ends],ONB_wsb_19251018.xml,12,facs_12_tr_1751545767_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=8,long,1,Margareta,Margarete,8.7,Fritz und Gräfin [Margareta] Kinsky,ONB_wsb_19341202.xml,5,facs_5_tr_1763318100_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,long,1,ihres,ihrem,9.6,als Mutter während des gegenseitigen Geständnisses [ihres] verlorenen,ONB_wsb_19250405.xml,14,facs_14_tr_1751545530_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=8,long,1,Ihren,Ihrer,9.0,"Sidonie geb. Prinzessin v. Lobkowitz, StkrD.). Mit [Ihren] Durchlauchten",ONB_wsb_19150612.xml,8,facs_8_tr_1781988719_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,long,1,einer,eines,9.6,Seitensprung verzeihen. Darin liegt die große Kraft [einer] vernünftigen,ONB_wsb_19200918.xml,10,facs_10_tr_1738871867_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=8,long,1,diesem,diesen,8.9,"leichtes ist, denn alles ist modern, und so gibt es in [diesem] Punkt",ONB_wsb_19200904.xml,10,facs_10_tr_1738871955_tl_16,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=8,long,1,kurzem,kurzer,8.2,graues Reisekleid aus Samt mit gleichfarbenem [kurzem] Mantel,ONB_wsb_19351117.xml,3,facs_3_tr_1764797717_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,long,1,eines,einer,8.6,die Vergänglichkeit der Saison. Der breite Rand [eines] havannabraunen,ONB_wsb_19230512.xml,18,facs_18_tr_1750157667_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=18
n,>=8,long,1,dritter,dritten,9.5,"v. Schönberger, mit Frl. Désirée Marchet, [dritter] Tochter",ONB_wsb_19180512.xml,5,facs_5_r_4_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,long,1,Nini,Nina,9.4,"Pia Mittrowsky, Frau [Nini] Gray",ONB_wsb_19290901.xml,7,facs_7_tr_1753561141_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=8,long,1,würdigen,würdiger,9.6,das einen ebenso [würdigen] wie,ONB_wsb_19320424.xml,2,facs_2_tr_1761041276_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,long,1,gleicher,gleichen,8.5,"immer hart an der Front, unermüdlich in stets [gleicher] Selbstaufopferung",ONB_wsb_19160219.xml,5,facs_5_tr_1780432519_tl_38,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=8,long,1,seinen,seinem,9.1,kam der Erzherzog mit [seinen] Kammervorsteher,ONB_wsb_19140725.xml,3,facs_3_tr_1784277418_tl_21,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,long,1,einen,eines,8.1,Frau folgte. Er bekam über sein traunges Schicksal [einen] Wutanfall,ONB_wsb_19260404.xml,15,facs_15_tr_1752222608_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=8,long,1,weiß,weit,8.7,Reise! Aber [weiß] mans,ONB_wsb_19230707.xml,11,facs_11_tr_1750157351_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,long,1,reichen,reicher,8.9,Aussehen nicht zufrieden erscheint und ihrer so [reichen] Begabung,ONB_wsb_19240301.xml,14,facs_14_tr_1751061350_tl_19,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=8,long,1,ihrer,ihres,9.5,Feier des Geburtsfestes [ihrer] einzigen,ONB_wsb_19311011.xml,2,facs_2_tr_1758291150_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,long,1,ihrer,ihres,8.1,reichbar dastand. Sie verließ sehr bald die Stätte [ihrer] Triumphe,ONB_wsb_19221118.xml,8,facs_8_tr_1748188326_tl_18,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,short,0,ab,am,8.1,Aosta unverzüglich nach dem fernen Osten [ab]  [paragraph ends],ONB_wsb_19230609.xml,2,facs_2_tr_1750157413_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,short,0,ab,am,8.4,tätige Zwecke [ab]  [paragraph ends],ONB_wsb_19380306.xml,7,facs_7_tr_1766143849_tl_25,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=8,short,0,vor,von,8.2,Mozarts Großes Requiem [vor]  [paragraph ends],ONB_wsb_19230512.xml,3,facs_3_tr_1750157667_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,0,ab,am,9.0,Castelnuovo wurde versetzt und reiste von Budapest [ab]  [paragraph ends],ONB_wsb_19240921.xml,6,facs_6_tr_1751061283_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,short,0,ab,am,8.6,Cannes [ab]  [paragraph ends],ONB_wsb_19220107.xml,7,facs_7_tr_1748188059_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=8,short,0,vor,von,8.8,"nen war, das Regiment im Parademarsch im Galopp [vor]  [paragraph ends]",ONB_wsb_19140718.xml,4,facs_4_tr_1784277449_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,short,0,ab,am,9.0,weilt in Pistyan und stieg im Thermia Palace [ab]  [paragraph ends],ONB_wsb_19371114.xml,11,facs_11_tr_1766143642_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,short,0,an,am,9.6,des Ordens an der Südfront [an]  [paragraph ends],ONB_wsb_19170421.xml,5,facs_5_tr_1779049238_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,short,0,ab,am,8.8,"sich der Statthalter, der seinen Souverän begleitet hatte, [ab]  [paragraph ends]",ONB_wsb_19170610.xml,4,facs_4_tr_1779049107_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,short,0,ab,an,9.5,den Titel »Graf bezw. Gräfin« freiwillig [ab]  [paragraph ends],ONB_wsb_19181123.xml,6,facs_6_tr_1769554386_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,short,0,ab,am,9.0,mia Palace [ab]  [paragraph ends],ONB_wsb_19240907.xml,4,facs_4_tr_1751061622_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=8,short,0,ab,an,9.9,reich [ab]  [paragraph ends],ONB_wsb_19350210.xml,13,facs_13_tr_1764797322_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=8,short,0,an,am,9.2,may kamen in Reims [an]  [paragraph ends],ONB_wsb_19231124.xml,3,facs_3_tr_1750157442_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,0,ab,am,8.1,Berlin nach dem Osten [ab]  [paragraph ends],ONB_wsb_19170728.xml,3,facs_3_tr_1779048968_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,0,ab,an,9.3,Monarch von Laxenburg [ab]  [paragraph ends],ONB_wsb_19170331.xml,3,facs_3_tr_1779049309_tl_14,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,0,dar,das,8.3,"Stolberg geb. Prinzessin v. Lobkowitz, [dar]  [paragraph ends]",ONB_wsb_19150227.xml,8,facs_8_tr_1781989023_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,short,0,ab,am,9.7,wieder zu seinem Truppenteile an die Ostfront [ab]  [paragraph ends],ONB_wsb_19150904.xml,3,facs_3_tr_1781988494_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,1,May,Mai,9.1,der Villa des Herrn v. [May] traten,ONB_wsb_19170127.xml,5,facs_5_tr_1779049459_tl_18,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,short,1,zum,zur,9.9,"das, in christlicher Auffassung, die endliche Einkehr [zum] reinen",ONB_wsb_19151002.xml,7,facs_7_tr_1781988412_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=8,short,1,den,der,8.7,"sitzende des schweren Verlustes, [den] die",ONB_wsb_19170602.xml,10,facs_10_tr_1779049135_tl_10,ad-content,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=8,short,1,vor,von,8.2,"durch die deutsch-bulgarischen Truppen, die nichts [vor] seiner",ONB_wsb_19210319.xml,5,facs_5_tr_1748027541_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=8,short,1,den,des,8.4,"Die in Gott ruhende Gräfin hinterläßt einen Sohn, [den] kgl",ONB_wsb_19290804.xml,11,facs_11_tr_1753561308_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=8,short,1,was,war,9.4,"Standes zugetragen, [was] hauptsächlich",ONB_wsb_19310719.xml,2,facs_2_tr_1758291040_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,short,1,Es,Er,8.1,Herrn willkommen hieß. [Es] wurde,ONB_wsb_19170331.xml,3,facs_3_r_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,1,den,dem,9.3,Auf S. 6 folgt eine vor dem Abmarsche auf [den] südlichen,ONB_wsb_19141114.xml,6,facs_6_tr_1784277099_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,short,1,den,der,8.6,Sanvitale fand noch nicht ganz den Ubereinklang mit [den] Vorgenannten,ONB_wsb_19191101.xml,8,facs_8_tr_1734448913_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=8,short,1,Der,Den,9.9,"Filippo Sartorio, Patriziers von Triest, statt. [Der] Trauungsakt",ONB_wsb_19251115.xml,8,facs_8_tr_1751545697_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=8,short,1,all,als,9.6,"esse, das sich bereits jetzt [all] seits",ONB_wsb_19291013.xml,14,facs_14_tr_1753561019_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=8,short,1,den,dem,9.4,Frau Richard Haniel geb. Freiin v. Levetzow auf [den] Hahnhof,ONB_wsb_19350210.xml,4,facs_4_tr_1764797308_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=8,short,1,der,den,9.1,Reichspräsident v. Hindenburg verbringt [der] Sommer,ONB_wsb_19270724.xml,2,facs_2_tr_1752356202_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=8,short,1,daß,das,8.7,"Seit 1870 war es am 20. Nov. zum ersten Male, [daß] im",ONB_wsb_19141212.xml,6,facs_6_tr_1784277024_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=8,short,1,im,in,8.3,lich vom Winteraufenthalt [im] bayrischen,ONB_wsb_19370418.xml,3,facs_3_tr_1766143336_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=8,short,1,in,im,8.2,"habenem Dreiklang, der alle Wirrnis des Einzeldaseins [in] Hinblick",ONB_wsb_19290303.xml,20,facs_20_tr_1753561383_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=20
n,>=8,short,1,den,der,8.6,"Uebliches, wo der Jan [den] Tobi",ONB_wsb_19310314.xml,17,facs_17_tr_1758290855_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=6,long,0,eröffnet,eröffnen,6.7,trieb am 10. Mai [eröffnet]  [paragraph ends],ONB_wsb_19310524.xml,6,facs_6_tr_1758290974_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=6,long,0,stattfindet,stattfinden,7.6,deren Vermählung am 26. Oktober in der Karlskirche zu Wien [stattfindet]  [paragraph ends],ONB_wsb_19351006.xml,3,facs_3_tr_1764797662_tl_2,image-caption,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=6,long,0,Sachs,Sache,7.6,leistung war der [Sachs]  [paragraph ends],ONB_wsb_19190208.xml,10,facs_10_tr_1732357144_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=6,long,0,Grab,Graf,6.0,ans [Grab]  [paragraph ends],ONB_wsb_19371003.xml,13,facs_13_tr_1766143586_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=6,long,0,Tages,Tagen,7.1,daß der Klub trotz seiner beschränkten Mittel den [Tages]  [paragraph ends],ONB_wsb_19190201.xml,7,facs_7_tr_1732357150_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
